Name;Movies
Jesus;7
Abraham Lincoln;5
Che Guevara;4
Oscar Wilde;3
Jesse James;3
Moses;3
Cleopatra;3
John Dillinger;3
George Armstrong Custer;2
Queen Victoria;2
Hank Williams;2
Cole Porter;2
Carl Gustav Jung;2
Jacques Mesrine;2
Muhammad;2
Marie Antoinette;2
Alexander The Great;2
Steve Jobs;2
Muhammad Ali;2
Evel Knievel;2
